Cust_id,PGMS,PGM_TYP,AGENCY_NAME,Religious,ADDRESS,CONTACT_NAME,Gender,PHONE,BORO,STATE,ZIP,Date_OF_Membership, Credit_Limit 
80902E,EFAP,9,Family Center Queens East/Cath,FALSE,23-40 ASTORIA BLVD,MARY GEORGE,F,(718) 726-9790,ASTORIA,NY,11102,34700,"1,000.00 "
87400,DA,6,HANAC COLLEGE POINT SEN. CTR.,FALSE,31-14 30TH AVENUE,SUZANNE METAXAS,F,(718) 961-0344,ASTORIA,NY,11102,34700,"1,500.00 "
80035E,EFAP,9,CHILDREN'S CNTR-VICTIMS SVCS,FALSE,900 Sheridan Avenue-Room #7-90,EDGAR ACEVEDO,M,(212) 681-6619,BRONX,NY,10451,36161,"1,200.00 "
80116,OD-SH,9,OUR LADY OF PITY,TRUE,276 EAST 151ST ST,JESSE MARCIAL,M,(718) 665-3880,BRONX,NY,10451,36161,"1,200.00 "
80137E,EFAP,9,The Salvation Army Bronx Citad,TRUE,425 East 159th Street,KEITH MASSEY,M,(718) 665-8472,BRONX,NY,10451,36161,"1,200.00 "
81048E,EFAP,8,THE SALVATION ARMY BRONX CITAD,TRUE,425 East 159th Street,Lucy JONES,F,(718) 665-8472,BRONX,NY,10451,36161,"1,200.00 "
81998,SODA,9,RESURRECTION AND LIFE C&S,TRUE,P.O. BOX 6319,MOSES OLADOSU,M,(718) 992-3482,BRONX,NY,10451,36161,"1,200.00 "
82000,ODA,9,CHURCH ALIVE MINISTRIES,TRUE,391 EAST 149TH ST.,ELDER THOMPSON,M,(718) 665-0735,BRONX,NY,10451,36161,"1,200.00 "
82073E,EFAP,9,ANDREW JACKSON TENANTS ASSOC,FALSE,3080 PARK AVE APT. 7H,HELEN HARRIS,F,(718) 402-5538,BRONX,NY,10451,36161,"1,200.00 "
82189,ODA,89,HAND IN HAND AGAINST HUNGER,FALSE,530 EAST 159TH ST. APT.# 32,LOURDES VARGAS,F,(718) 402-0779,BRONX,NY,10451,36161,"1,200.00 "
82247,ODA,89,VAMOS A LA PENA,TRUE,226 EAST 144TH STREET,NIEVES AYRESS,F,(718) 402-9411,BRONX,NY,10451,36161,"1,200.00 "
87014,ODA,89,NARCO FREEDOM INC.,FALSE,324 EAST 149TH STREET,SABINA FILA,F,(718) 402-9000,BRONX,NY,10451,36161,"1,200.00 "
87023,ODA,9,SARAH BURK HOUSE/SANCT FOR FAM,FALSE,P.O. BOX 1783,MERLE MOSES,M,(718) 588-6494,BRONX,NY,10451,36161,"1,200.00 "
87047,ODA,85,Missionaries of Charity,TRUE,335 E. 145th Street,Elizabeth Seton,F,(718) 292-0019,BRONX,NY,10451,36161,"1,200.00 "
80073E,FEDO,8,GRAND CONCOURSE S.D.A. CHURCH,TRUE,1275 Grand Concourse,PHILLIP SPENCER,M,(718) 681-2232,BRONX,NY,10452,36161,"1,200.00 "
80077E,EFAP,9,HIGHBRIDGE COMMUNITY LIFE CENT,FALSE,979 OGDEN AVENUE,MELINDA WALKER,F,(718) 681-2222,BRONX,NY,10452,36161,"1,200.00 "
80139,OD-SH,9,SCAN - N.Y.,FALSE,876 Gerard Ave,Michele Niles,F,(212) 590-5770,Bronx,NY,10452,36161,"1,200.00 "
81405,DA,7,Highbridge Advisory Council,FALSE,1181 Nelson Avenue,Patricia B. Bellam,F,(718) 681-5215,BRONX,NY,10452,36161,"1,200.00 "
82128,OD-SH,9,BX HEALTH CRISIS INTERVENTION,TRUE,1065 UNIVERSITY AVE,RONALD O. KEHINDE,M,(718) 992-2100,BRONX,NY,10452,36161,"1,200.00 "
87000,DA,4CE,SAMARITAN VILLAGE-BRONX,TRUE,1381 UNIVERSITY AVENUE,WILLIE GIOLIANO,M,(718) 681-9300,BRONX,NY,10452,36161,"1,200.00 "
87001,D-SH,9,Bronx Community College/MOSSAI,TRUE,1257 OGDEN AVE,JUWON CHOI,M,(718) 590-0101,Bronx,NY,10452,36161,"1,200.00 "
87090,OD-SH,9,BMCC/MOSSAIC,FALSE,1257 OGDEN AVE.,EVELYN DIAZ,F,(718) 590-0101,BRONX,NY,10452,36161,"1,200.00 "
87254,DA,6,HIGHBRIDGE SENIOR CENTER,FALSE,1181 NELSON AVENUE,Judith Noland,F,(212) 588-3004,BRONX,NY,10452,36161,"1,200.00 "
87367,D-SH,267,ANDREW FREEDMAN HOME,FALSE,1125 GRAND CONCOURSE,LOYCE GODFREY,F,(718) 293-8100,BRONX,NY,10452,36161,"1,200.00 "
81113,OD-SH,89,Grand Concourse S.D.A. Church,TRUE,1275 Grand Concourse,IDA H. CRAWFORD,F,(718) 681-2232,Bronx,NY,10453,36161,"1,200.00 "
81316,SODA,9,ST. EDMUND EPISCOPAL CHURCH,TRUE,1905 MORRIS AVE.,ELAINE BEDMINSTER,F,(718) 299-7567,BRONX,NY,10453,36161,"1,200.00 "
81404E,FE,8,THESSALONICA CHRISTIAN CHURCH,TRUE,313 ST. ANN'S AVE.,DAVID SERRANO,M,(718) 665-0182,BRONX,NY,10453,36161,"1,200.00 "
82117,OD-SH,89,ST. MATTHEWS AME CHURCH,TRUE,1788 SEDWICK AVENUE,VERCINIA PRITCHETT,F,(718) 583-7657,BRONX,NY,10453,36161,"1,200.00 "
82130,ODA,8,CORNERSTONE ASSEMBLY CHURCH,TRUE,1917 ANDREWS AVE SUITE 1N,DEBBIE ROD,F,(718) 716-4699,BRONX,NY,10453,36161,"1,200.00 "
82131E,EDO,9,CORNERSTONE ASSEMBLY CHURCH,TRUE,P.O. BOX 791 MORRIS HTS STA,DEBBIE ROD,F,(718) 588-6094,BRONX,NY,10453,36161,"1,200.00 "
87027,DA,6,MORRIS SENIOR CENTER,FALSE,80 E. 181ST ST,ISABEL ROLON,F,(212) 933-5300,BRONX,NY,10453,36161,"1,200.00 "
87169,DA,4C,HOPE CHRISTIAN CENTER,TRUE,2185 UNIVERSITY AVE. PO BOX,JACK L. ROBERTS,M,(212) 295-0998,BRONX,NY,10453,36161,"1,200.00 "
87171,D-MH,4,New Life for Girls,FALSE,1743 Grand Ave.,DEBORAH HACKENBERG,F,(212) 731-2752,Bronx,NY,10453,36161,"1,200.00 "
